url,name,language,description,instructors,learns,level,time
https://www.coursera.org/professional-certificates/google-cybersecurity,Google Cybersecurity Professional Certificate,Taught in English,"This is your path to a career in cybersecurity. In this certificate program, you’ll learn in-demand skills that can have you job-ready in less than 6 months. No degree or experience required. ",Google Career Certificates,"Understand the importance of cybersecurity practices and their impact for organizations.,Identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them.,Protect networks, devices, people, and data from unauthorized access and cyberattacks using Security Information and Event Management (SIEM) tools.,Gain hands-on experience with Python, Linux, and SQL.",Beginner level,6 months at 7 hours a week
https://www.coursera.org/professional-certificates/cloud-engineering-gcp,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate,Taught in English,Start your career in the cloud.,Google Cloud Training,"Learn the skills needed to be successful in a cloud engineering role,Prepare for the Associate Cloud Engineer certification,Learn about the infrastructure and platform services provided by Google Cloud Platform",Intermediate level,1 month at 10 hours a week
https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,Preparing for Google Cloud Certification: Machine Learning Engineer Professional Certificate,Taught in English,Advance your career as a Cloud ML Engineer,Google Cloud Training,"Learn the skills needed to be successful in a machine learning engineering role,Prepare for the Google Cloud Professional Machine Learning Engineer certification exam,Understand how to design, build, productionalize ML models to solve business challenges using Google Cloud technologies,Understand the purpose of the Professional Machine Learning Engineer certification and its relationship to other Google Cloud certifications",Intermediate level,2 months at 10 hours a week
https://www.coursera.org/professional-certificates/google-cloud-networking,Preparing for Google Cloud Certification: Cloud Network Engineer Professional Certificate,Taught in English,Advance your career as a Cloud Networking Engineer,Google Cloud Training,"Learn the skills needed to be successful in a cloud network engineering role,Prepare for the Google Cloud Professional Cloud Network Engineer certification exam,Learn about implementing VPCs, hybrid connectivity, network services, and security for established network architectures on Google Cloud ,Understand the purpose and intent of the Professional Cloud Network Engineer certification and its relationship to other Google Cloud certifications",Intermediate level,1 month at 10 hours a week
https://www.coursera.org/professional-certificates/gcp-cloud-architect,Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,Taught in English,Advance your career in cloud architecture. ,Google Cloud Training,"Learn the skills needed to be successful in a cloud architect role,Prepare for the Professional Cloud Architect certification,Learn about the infrastructure and platform services provided by Google Cloud Platform",Intermediate level,1 month at 10 hours a week
https://www.coursera.org/professional-certificates/google-cloud-security,Preparing for Google Cloud Certification: Cloud Security Engineer Professional Certificate,Taught in English,Advance your career as a Cloud Security Engineer,Google Cloud Training,"Learn the skills needed to be successful in a cloud security engineer role,Prepare for the Google Cloud Professional Cloud Security Engineer certification exam,Learn about Cloud Security including managing access, defining organizational structure/ policies, configuring network security, and analyzing logs.",Intermediate level,1 month at 10 hours a week
https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,Palo Alto Networks Cybersecurity Professional Certificate,Taught in English,Palo Alto Networks Cybersecurity. Gain cybersecurity workforce entry level skills in compliance with NIST / NICE workforce role requirements.,James Dalton,"Examine the cybersecurity landscape, attack threat vectors, vulnerabilities, and risks. ,Describe the basics of cryptography including encryption.",Beginner level,1 month at 10 hours a week
https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,Taught in English,Advance your career as an SRE & DevOps Engineer,Google Cloud Training,"Learn the skills needed to be successful in a cloud devops engineering role,Prepare for the Google Cloud Professional Cloud DevOps Engineer certification exam,Techniques for monitoring, troubleshooting, and improving infrastructure and application performance in Google Cloud guided by principles of SRE. ,Understand the purpose and intent of the Professional Cloud DevOps Engineer certification and its relationship to other Google Cloud certifications",Beginner level,1 month at 10 hours a week
https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,IBM Applied DevOps Engineering Professional Certificate,Taught in English,"Advance your career to high demand field of DevOps. Build on your software development skills with the latest DevOps concepts, tools, and technologies to get job ready in less than 3 months.",John Rofrano,"Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHub,Develop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like Kubernetes,Develop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objects,Gain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness",Intermediate level,3 months at 10 hours a week
https://www.coursera.org/professional-certificates/google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate,Taught in English,Developer Best Practices on Google Cloud,Google Cloud Training,"Identify the purpose and value of Google Cloud products and services.,Learn the skills needed to be successful in a cloud developer engineering role.,Choose among and use application deployment environments on Google Cloud: App Engine, Google Kubernetes Engine, and Compute Engine.,Techniques for monitoring, troubleshooting, and improving infrastructure and application performance in Google Cloud",Intermediate level,2 months at 5 hours a week
