url,company,website,job_name,job_description,job_function
https://www.timesjobs.com/job-detail/ios-swift-developer-ais-technolabs-pvt-ltd-ahmedabad-2-to-3-yrs-jobid-CAA6M3PcdyFzpSvf__PLUS__uAgZw==&source=srp,AIS Technolabs PVT LTD,http://www.aistechnolabs.com,"
	  
  IOS (Swift) Developer
  ","Designing and building mobile applications for Apples iOS platform.,Collaborating with the design team to define app features.,Ensuring quality and performance of the application to specifications.,Identifying potential problems and resolving application bottlenecks.,Fixing application bugs before the final release.,Publishing application on App Store.,Maintaining the code and atomization of the application.,Designing and implementing application updates.,Proficient in Objective-C, Swift, and Cocoa Touch.,Extensive experience with iOS Frameworks such as Core Data and Core Animation.,Knowledge of iOS back-end services.,Knowledge of Apples design principles and application interface guidelines.,Proficient in code versioning tools including Git and SVN.,Knowledge of C-based libraries.,Familiarity with push notifications, APIs, and cloud messaging.,Experience with continuous integration.",IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/flutter-developer-infogird-informatics-private-limited-aurangabad-1-to-2-yrs-jobid-EP0l2F5l7i5zpSvf__PLUS__uAgZw==&source=srp,Infogird Informatics Private Limited,http://www.infogird.com,"
	  
  Flutter Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-developer-quickmove-technologies-bengaluru-bangalore-0-to-1-yrs-jobid-JOEKwNflsndzpSvf__PLUS__uAgZw==&source=srp,QuickMove Technologies,http://www.quickmovetech.com,"
	  
  iOS Developer
  ","Proficient in Swift with good knowledge of Threads and Collection Framework.,Understanding of basic components of an iOS application and their lifecycle.,Good Knowledge in Xcode,Strong understanding of Object Oriented Principles,Basic knowledge of Core Data and its components.,Understanding of Story Board user interface and AutoLayouts .,Familiarity with RESTful APIs to connect with back-end services with JSON,Solid understanding of the full mobile development life cycle.,Commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.,Excellent communication, interpersonal and teamwork skills.",IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/app-developer-antrorse-corporation-bengaluru-bangalore-1-to-3-yrs-jobid-JoA8dcFJ2UZzpSvf__PLUS__uAgZw==&source=srp,ANTRORSE CORPORATION,http://www.antrorse.org,"
	  
  App Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-developer-imbibe-technologies-pvt-ltd-karnal-2-to-5-yrs-jobid-12qAcgs9RKFzpSvf__PLUS__uAgZw==&source=srp,IMBIBE TECHNOLOGIES PVT LTD.,http://www.imbibe.in,"
	  
  iOS Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/lead-iphone-developers-simplyhr-solutions-llp-gurgaon-6-to-9-yrs-jobid-BloaQ5oqr4ZzpSvf__PLUS__uAgZw==&source=srp,simplyhr solutions llp,https://simplyhr.in/jobs/,"
	  
  Lead iPhone Developers
  ","Design and develop applications for iOS platform,Proficient in Objective-C, Swift, and Cocoa Touch,Lead and mentor junior developers in the team,Minimum 6 years of experience in application design and development in iOS,Strong knowledge of Objective-C, Swift, and Cocoa Touch,Excellent communication and teamwork skills",IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-developer-alliance-recruitment-agency-ahmedabad-3-to-4-yrs-jobid-jFOoQRBCV81zpSvf__PLUS__uAgZw==&source=srp,alliance recruitment agency,http://www.alliancerecruitmentagency.com,"
	  
  iOS Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-developer-armia-systems-cochin-kochi-ernakulam-2-to-4-yrs-jobid-a4MmpHSQB8NzpSvf__PLUS__uAgZw==&source=srp,armia systems,https://www.armia.com/,"
	  
  IOS Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-developer-appriffy-digital-it-hub-bengaluru-bangalore-3-to-5-yrs-jobid-aJ__PLUS__8UNuw__PLUS__x9zpSvf__PLUS__uAgZw==&source=srp,appriffy digital it hub,https://www.appriffy.com/,"
	  
  iOS Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/senior-ios-engineer-pyze-inc-bengaluru-bangalore-2-to-3-yrs-jobid-fdxfaDSfpnVzpSvf__PLUS__uAgZw==&source=srp,Pyze Inc.,http://www.pyze.com,"
	  
  Senior iOS Engineer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/ios-developer-appsinvo-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-7xN6ooev6nVzpSvf__PLUS__uAgZw==&source=srp,AppsInvo Pvt Ltd,https://www.appsinvo.com/,"
	  
  iOS Developer
  ",,IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/senior-ios-developer-7-yrs-sap-ariba-bengaluru-bangalore-7-to-9-yrs-jobid-pFYxrdG3laxzpSvf__PLUS__uAgZw==&source=srp,SAP Ariba,https://www.sap.com/india/index.html,"
	  
  Senior iOS Developer- 7  yrs.
  ","Primarily work with the product and design teams on delivering the next-generation iOS experience for SAP SuccessFactors,Provide hands-on contribution for creating high-quality iOS native application and you share your expertise and knowledge with your team members,Make sure the code has very high code coverage with the help of unit and component test cases to minimize the manual testing efforts,Make sure the product is accessible by following general accessibility guidelines,You will be offered the opportunity to influence the technical implementation guidance across multiple sites and engineers,Bachelors in computer science or equivalent work experience,7  years of overall experience in iOS application development,Expert knowledge of computer science or related field, with strong competencies in data structures, algorithms, and software design,Experience with Swift, Objective-C, iOS Native development,Experience with networking, persistency, multithreading, performance, RESTful APIs, Git,Experience in unit testing, Mobile Automation Test, Accessibility, and CI/CD for Mobile,Ability to understand complex UI problem scenarios and propose solutions,Ability to communicate effectively with team members,Passionate about developing cool UIs and a self-starter,Knowledge of implementing mobile-accessible applications,Proof of work (e.g., open-source contributions in GitHub) or worked on high-grade public apps,Working knowledge of iOS security, including but not limited to Secure Storage, Cryptography, Authentication, and Session Management,Experience in developing in areas besides iOS, including but not limited to Android, Ruby, HTML5, Python, Scala, and Go,Experience with cloud applications and understanding the cloud operation model",IT Software : Software Products & Services
https://www.timesjobs.com/job-detail/safe-security-ios-developer-lucideus-technology-pvt-ltd-bengaluru-bangalore-delhi-delhi-ncr-5-to-9-yrs-jobid-aM__SLASH__ABUgMubFzpSvf__PLUS__uAgZw==&source=srp,lucideus technology pvt ltd,https://jobs.lever.co/safe,"
	  
  Safe Security - iOS Developer
  ","Position:, iOS Developer,Location:, Bengaluru / New Delhi,Department:, Engineering Product Engineering,Employment Type:, Full-time / Hybrid,iOS App Development:, Design and develop complex, high-performance iOS applications using Swift and Objective-C, with a strong focus on clean, maintainable, and secure code.,Cross-functional collaboration:, Work closely with product managers, designers, and other stakeholders to understand project requirements and align technical solutions with business goals.,Code Review:, Conduct code reviews for junior iOS developers to maintain code quality, identify opportunities for improvement, and ensure adherence to best practices.,Performance Optimization:, Continuously monitor, analyze, and optimize app performance and responsiveness, ensuring a smooth user experience.,Bug Fixing and Troubleshooting:, Diagnose and resolve complex technical issues, identify root causes, and implement effective solutions to enhance app stability.,Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.,Proven experience as an iOS Developer of at least 5 years with expertise in Swift and Objective-C.,Strong experience designing and developing user-friendly iOS applications focusing on app performance and responsiveness.,Proficiency in the iOS ecosystem, design patterns, architectural concepts, and third-party libraries.,Proficiency with UI/UX paradigms to build elegant user experiences.,Experience with RESTful APIs, offline storage, threading, and performance tuning is preferred.,Strong leadership skills with the ability to mentor and guide junior developers.,Familiarity with cloud message APIs and Apple Push Notifications is preferred.,Excellent problem-solving and analytical skills.,Experience with mobile app testing and debugging.,Knowledge of emerging trends and technologies in the iOS development landscape.",IT Software : Software Products & Services
